stadium,date,time,home,guest
Hàng Đẫy Stadium,2021-02-06,03:34:14,Czech Republic,Malawi
Hàng Đẫy Stadium,2020-12-27,15:40:05,Algeria,Ethiopia
Stade Chedli Zouiten,2021-04-01,10:13:43,United Arab Emirates,Australia
Stade Chedli Zouiten,2021-04-22,20:57:53,Netherlands,Bulgaria
Stade Chedli Zouiten,2020-11-28,03:36:50,Bosnia and Herzegovina,Bhutan
Stade Chedli Zouiten,2020-12-19,08:28:49,Latvia,Nigeria
Stade Chedli Zouiten,2021-05-03,02:16:57,Papua New Guinea,Djibouti
Stade Chedli Zouiten,2020-11-29,15:32:45,Spain,Estonia
Stade Chedli Zouiten,2020-12-25,20:14:18,Tajikistan,Iceland
Botswana National Stadium,2021-05-19,22:30:08,Malawi,Japan
Botswana National Stadium,2021-02-05,15:43:52,Montenegro,Suriname
Botswana National Stadium,2020-12-04,08:07:54,North Korea,Belgium
Intwari Stadium,2021-05-10,12:59:00,Brunei,Myanmar
Intwari Stadium,2021-03-10,10:56:39,Mauritania,Gabon
Intwari Stadium,2021-02-24,04:19:04,Brazil,Benin
Intwari Stadium,2021-03-13,15:04:40,Uruguay,People's Republic of China
Intwari Stadium,2021-01-19,07:58:41,Belgium,Turkmenistan
Intwari Stadium,2020-12-29,11:07:05,Egypt,Nicaragua
Intwari Stadium,2021-02-22,04:00:11,Lithuania,Armenia
Intwari Stadium,2021-01-13,13:26:48,Sudan,Liechtenstein
Intwari Stadium,2020-12-02,15:06:32,Bolivia,São Tomé and Príncipe
Intwari Stadium,2021-05-06,00:18:03,Colombia,Venezuela
Roumdé Adjia Stadium,2020-12-20,18:09:42,Ivory Coast,Rwanda
Roumdé Adjia Stadium,2021-03-31,15:21:34,Benin,Denmark
Roumdé Adjia Stadium,2021-03-13,04:43:25,Malta,Bhutan
Roumdé Adjia Stadium,2021-01-07,09:38:29,Brunei,Jordan
Roumdé Adjia Stadium,2020-12-25,23:23:03,Romania,São Tomé and Príncipe
Roumdé Adjia Stadium,2021-03-24,11:10:51,Sweden,Cuba
Roumdé Adjia Stadium,2021-02-16,12:20:17,Indonesia,Greece
Roumdé Adjia Stadium,2021-05-05,08:05:13,Zimbabwe,Botswana
Stadion ETO,2021-05-18,22:33:05,Australia,Netherlands
Stadion ETO,2020-12-24,20:03:32,Turkey,Mauritania
Stadion ETO,2021-04-11,10:14:41,South Sudan,Liberia
Stadion ETO,2021-04-06,18:52:47,Saint Vincent and the Grenadines,Antigua and Barbuda
Stadion ETO,2021-01-14,21:37:23,Myanmar,North Macedonia
Stadion ETO,2020-12-13,01:57:26,Kuwait,Norway
Stadion ETO,2021-01-28,03:13:34,Ukraine,Botswana
Stadion ETO,2020-12-18,23:45:03,Nepal,Saint Lucia
Stadion ETO,2021-05-08,15:27:57,Mali,Botswana
Stadion ETO,2021-02-10,11:38:50,Sudan,Djibouti
Estadio de la Cerámica,2021-02-22,15:15:43,Austria,Bangladesh
Estadio de la Cerámica,2021-01-13,18:38:31,Bahrain,Portugal
Estadio de la Cerámica,2020-12-29,17:23:20,People's Republic of China,Bhutan
Estadio de la Cerámica,2021-02-16,00:56:10,Kosovo,Australia
Estadio de la Cerámica,2021-03-23,22:50:37,Eritrea,Lebanon
Estadio de Vallejo,2021-05-08,12:11:04,Grenada,Nigeria
Estadio de Vallejo,2020-12-14,03:07:06,British Virgin Islands,Guatemala
Estadio de Vallejo,2021-03-06,23:59:27,Antigua and Barbuda,Liberia
Estadio de Vallejo,2021-05-06,17:37:09,Belgium,Suriname
Estadio de Vallejo,2020-11-24,19:05:48,Oman,Pakistan
Cristal Arena,2021-03-25,16:34:01,Chile,Bosnia and Herzegovina
Cristal Arena,2021-01-17,04:35:21,Solomon Islands,Iran
Cristal Arena,2020-12-02,13:03:06,Switzerland,Benin
Cristal Arena,2021-01-22,04:48:19,Ethiopia,Cyprus
Cristal Arena,2021-03-16,16:11:58,Israel,Mauritius
Cristal Arena,2020-11-24,19:34:43,Iran,Uzbekistan
Cristal Arena,2021-01-24,09:45:08,Solomon Islands,Afghanistan
Cristal Arena,2020-11-22,19:33:38,Somalia,Guatemala
Cristal Arena,2021-02-03,15:47:03,United Arab Emirates,Spain
Cristal Arena,2020-12-02,12:19:06,Burkina Faso,British Virgin Islands
Arena Garibaldi – Stadio Romeo Anconetani,2021-01-15,20:24:50,Zambia,Uganda
Arena Garibaldi – Stadio Romeo Anconetani,2021-03-20,01:38:50,South Africa,Greenland
Arena Garibaldi – Stadio Romeo Anconetani,2021-04-25,16:08:24,South Sudan,Finland
Arena Garibaldi – Stadio Romeo Anconetani,2021-04-15,06:09:07,Bangladesh,Albania
Arena Garibaldi – Stadio Romeo Anconetani,2021-01-18,01:05:01,Greece,Eritrea
Arena Garibaldi – Stadio Romeo Anconetani,2021-03-12,04:27:00,Mexico,Bangladesh
Arena Garibaldi – Stadio Romeo Anconetani,2021-01-20,09:27:02,São Tomé and Príncipe,Australia
Arena Garibaldi – Stadio Romeo Anconetani,2021-03-24,08:45:04,Armenia,Georgia
Arena Garibaldi – Stadio Romeo Anconetani,2021-04-01,23:35:42,Botswana,Rwanda
Arena Garibaldi – Stadio Romeo Anconetani,2021-01-26,16:42:21,Guernsey,Japan
Stadio Atleti Azzurri d'Italia,2020-12-03,08:56:49,Zimbabwe,Zambia
Stadio Atleti Azzurri d'Italia,2020-12-24,16:43:29,Afghanistan,Dominica
Stadio Atleti Azzurri d'Italia,2021-03-05,10:27:53,The Gambia,Antigua and Barbuda
Stadio Atleti Azzurri d'Italia,2021-04-27,05:24:17,Uruguay,United Kingdom
Stadio Atleti Azzurri d'Italia,2021-04-11,21:19:41,Uzbekistan,Papua New Guinea
Stadio Atleti Azzurri d'Italia,2021-05-18,09:53:07,Tanzania,Grenada
Stadio Atleti Azzurri d'Italia,2021-03-27,16:07:56,Finland,Sudan
Stadio Atleti Azzurri d'Italia,2021-03-13,06:10:30,Venezuela,Nigeria
Stadio Atleti Azzurri d'Italia,2020-12-20,04:20:14,France,Taiwan
Letzigrund,2021-01-19,04:19:07,Nepal,Vietnam
Letzigrund,2021-01-18,22:08:19,Curaçao,Austria
Letzigrund,2021-05-01,04:01:30,Ethiopia,Spain
Suez Stadium,2021-01-04,08:21:43,Germany,Czech Republic
Suez Stadium,2021-05-03,22:03:27,Dominican Republic,Croatia
Suez Stadium,2021-04-18,05:57:15,Vietnam,Turkey
Suez Stadium,2020-11-29,07:04:47,Kazakhstan,Vietnam
Suez Stadium,2021-04-22,18:20:05,Turkmenistan,Djibouti
Suez Stadium,2021-02-10,05:51:02,Iraq,San Marino
Suez Stadium,2020-12-13,22:19:57,North Korea,Georgia
Suez Stadium,2021-04-28,05:28:00,Belarus,El Salvador
Estadio Carlos Iturralde,2021-05-17,22:45:17,Ireland,Bhutan
Estadio Carlos Iturralde,2020-11-27,07:26:26,United States of America,Kenya
Estadio Carlos Iturralde,2020-12-16,04:28:09,Bulgaria,People's Republic of China
Estadio Carlos Iturralde,2021-03-17,02:18:18,Cyprus,Bahrain
Estadio Carlos Iturralde,2021-05-17,05:00:15,Bolivia,San Marino
Estadio Carlos Iturralde,2020-12-02,23:23:22,Vietnam,Algeria
Rugby Park,2020-12-03,22:03:20,Cyprus,North Macedonia
Rugby Park,2020-12-18,03:43:05,Indonesia,Ecuador
Rugby Park,2021-05-13,10:11:35,Thailand,Saudi Arabia
Estádio São Januário,2021-03-27,00:12:49,Ivory Coast,Armenia
Estádio São Januário,2020-12-19,14:01:52,Guatemala,Syria
Estádio São Januário,2021-02-10,23:43:24,Malawi,Guatemala
Estádio São Januário,2021-05-07,12:21:17,Finland,North Macedonia
Estádio São Januário,2020-12-09,03:52:03,Nepal,Kyrgyzstan
Estádio São Januário,2021-04-24,21:50:01,Tunisia,Kazakhstan
Estádio São Januário,2021-01-09,15:45:10,Slovakia,Djibouti
Estádio São Januário,2020-12-18,21:45:02,Somalia,Norway
Estádio São Januário,2020-12-11,06:27:25,Sweden,São Tomé and Príncipe
Estádio Bento de Abreu,2021-04-14,06:40:29,New Zealand,Benin
Estádio Bento de Abreu,2021-02-24,20:41:27,Bolivia,Thailand
Estádio Bento de Abreu,2021-02-15,03:16:58,Belgium,Republic of Abkhazia
Estádio Bento de Abreu,2021-05-09,18:10:23,Mexico,Angola
Estádio Bento de Abreu,2021-03-16,08:26:08,Turkey,Somalia
Estádio Bento de Abreu,2020-12-25,00:13:50,Burundi,Kyrgyzstan
Estádio Bento Freitas,2021-01-04,03:44:12,Croatia,Venezuela
Estádio Bento Freitas,2021-05-11,08:57:42,Bangladesh,Tanzania
Estádio Bento Freitas,2021-01-01,02:34:29,North Macedonia,Serbia
Estádio Bento Freitas,2021-03-12,19:42:26,Bosnia and Herzegovina,Vietnam
Estádio Bento Freitas,2021-05-05,21:52:51,Germany,Greenland
Estádio Bento Freitas,2020-12-19,21:35:49,Czech Republic,Spain
Estádio Bento Freitas,2021-03-19,04:19:06,Egypt,Denmark
Estádio Bento Freitas,2021-05-19,23:50:01,Romania,Ethiopia
Estádio Bento Freitas,2021-05-16,05:27:49,Eritrea,Finland
Estádio Novelli Júnior,2021-01-12,09:53:24,Honduras,Saint Vincent and the Grenadines
Estádio Novelli Júnior,2020-12-04,00:11:05,Brazil,Bangladesh
Estádio Novelli Júnior,2021-02-22,21:32:07,Ecuador,Sweden
Estádio Novelli Júnior,2021-03-09,08:27:53,Mexico,Latvia
Estádio Major José Levy Sobrinho,2021-01-09,12:19:58,Ivory Coast,Japan
Estádio Major José Levy Sobrinho,2021-01-27,02:37:10,Tunisia,Brunei
Estádio Major José Levy Sobrinho,2020-12-04,14:56:04,Netherlands,Estonia
Estádio Major José Levy Sobrinho,2021-02-27,16:14:27,Trinidad and Tobago,Israel
Estádio Major José Levy Sobrinho,2021-01-20,15:10:36,Turkmenistan,Solomon Islands
Estádio Major José Levy Sobrinho,2021-05-17,12:27:58,Sierra Leone,Cambodia
Estádio Major José Levy Sobrinho,2021-03-22,13:23:55,Cape Verde,Uruguay
Estádio Major José Levy Sobrinho,2021-03-30,09:11:31,Bolivia,Uzbekistan
Estádio Major José Levy Sobrinho,2021-01-17,05:24:25,Trinidad and Tobago,Saint Kitts and Nevis
Stadion an der Gellertstraße,2021-01-09,02:06:11,Japan,British Virgin Islands
Stadion an der Gellertstraße,2021-03-07,13:51:13,Kosovo,Nigeria
Stadion an der Gellertstraße,2021-01-09,22:02:09,Argentina,Norway
Stadion an der Gellertstraße,2021-03-15,16:29:10,Saudi Arabia,Tajikistan
Stadion an der Gellertstraße,2021-04-24,07:26:34,Iran,Bahrain
Stadion an der Gellertstraße,2020-12-05,19:00:08,Djibouti,Denmark
Stadion Rote Erde,2020-12-12,00:09:45,Fiji,Ivory Coast
Stadion Rote Erde,2021-02-10,13:42:28,South Sudan,Czech Republic
Stadion Rote Erde,2021-02-08,23:50:05,Spain,Kazakhstan
Stadion Rote Erde,2021-03-07,07:59:40,Burkina Faso,The Gambia
Stadion Rote Erde,2020-12-19,08:46:36,Cameroon,Bosnia and Herzegovina
Lazur Stadium,2021-03-13,03:17:53,Malta,Libya
Lazur Stadium,2021-02-23,09:25:14,Libya,Argentina
Lazur Stadium,2021-05-19,15:26:10,Belgium,Iraq
Lazur Stadium,2021-03-16,00:06:58,Portugal,Nicaragua
Lazur Stadium,2021-04-12,05:27:38,São Tomé and Príncipe,Kosovo
Lazur Stadium,2021-01-10,02:58:24,Iran,Israel
Lazur Stadium,2020-12-11,07:28:56,Djibouti,Algeria
Lazur Stadium,2021-04-15,20:01:33,Kuwait,Indonesia
Lazur Stadium,2020-12-26,00:04:40,Taiwan,Vietnam
Wollongong Showground,2021-05-02,14:59:48,Fiji,Kenya
Wollongong Showground,2021-03-05,20:39:32,Montenegro,Peru
Wollongong Showground,2021-02-17,09:08:54,Romania,The Gambia
Wollongong Showground,2021-02-13,10:48:44,Croatia,Papua New Guinea
Wollongong Showground,2021-02-02,05:26:48,Australia,British Virgin Islands
Wollongong Showground,2021-01-21,09:31:20,Syria,India
Wollongong Showground,2021-04-14,18:43:48,Guatemala,Djibouti
Wollongong Showground,2021-02-27,09:25:55,Dominican Republic,North Korea
Estadio Presbítero Bartolomé Grella,2021-01-29,13:02:45,Bosnia and Herzegovina,New Zealand
Estadio Presbítero Bartolomé Grella,2020-12-12,04:26:32,Pakistan,Ecuador
Estadio Presbítero Bartolomé Grella,2021-04-30,18:19:26,Azerbaijan,Tanzania
National Stadium,2021-04-06,15:38:16,Faroe Islands,Germany
National Stadium,2021-01-29,23:20:45,Laos,Czech Republic
National Stadium,2021-04-14,14:21:28,Canada,Kuwait
National Stadium,2021-04-11,23:32:30,Germany,Jordan
National Stadium,2021-04-05,15:29:14,Fiji,Denmark
National Stadium,2021-02-20,22:32:28,Malawi,Mexico
José Antonio Páez,2021-01-01,18:02:53,Chile,Iceland
José Antonio Páez,2021-04-21,23:56:35,Botswana,Lithuania
José Antonio Páez,2020-11-23,21:38:48,Turkmenistan,Nicaragua
José Antonio Páez,2021-02-03,16:04:11,Turkmenistan,Saudi Arabia
José Antonio Páez,2020-12-09,06:50:38,Nepal,Poland
José Antonio Páez,2021-04-06,15:51:48,Kosovo,Cuba
José Antonio Páez,2021-03-09,19:09:23,Eritrea,Thailand
Estadio Gilberto Parada,2021-03-21,12:24:20,Switzerland,Hungary
Estadio Gilberto Parada,2021-01-03,08:26:23,Mexico,Finland
Estadio Gilberto Parada,2021-03-11,05:38:47,Uruguay,Faroe Islands
Estadio Gilberto Parada,2021-04-25,03:46:27,Vietnam,Somalia
Estadio Gilberto Parada,2021-02-25,19:40:29,Zambia,Faroe Islands
Estadio Gilberto Parada,2020-12-24,19:10:47,Saint Vincent and the Grenadines,Suriname
Estadio Gilberto Parada,2020-12-27,07:06:30,Ireland,Croatia
Al-Ahmadi Stadium,2020-11-24,06:28:47,Zimbabwe,Denmark
Al-Ahmadi Stadium,2020-11-30,07:00:55,Dominica,Greece
Al-Ahmadi Stadium,2021-05-02,04:06:04,Egypt,Eritrea
Al-Ahmadi Stadium,2020-12-03,20:40:18,Georgia,Lithuania
Al-Ahmadi Stadium,2021-05-12,01:23:46,Benin,Liberia
Al-Ahmadi Stadium,2021-04-11,06:24:39,Honduras,Switzerland
Al-Ahmadi Stadium,2021-04-26,17:47:31,Kazakhstan,France
Al-Ahmadi Stadium,2021-03-15,01:16:26,Qatar,Cameroon
Al-Hamadaniah Stadium,2021-02-19,16:13:06,State of Palestine,Japan
Al-Hamadaniah Stadium,2021-05-02,04:45:36,Jordan,Fiji
Al-Hamadaniah Stadium,2021-01-13,01:57:54,People's Republic of China,Slovakia
Al-Hamadaniah Stadium,2021-03-01,21:10:20,Japan,Georgia
Al-Hamadaniah Stadium,2021-01-01,09:38:16,South Sudan,Jordan
Al-Hamadaniah Stadium,2021-02-13,00:31:06,Nepal,Thailand
Al-Hamadaniah Stadium,2020-12-17,22:34:57,Greece,United States of America
Al-Hamadaniah Stadium,2021-04-12,04:29:09,Burkina Faso,Austria
Za'abeel Stadium,2020-11-29,12:00:32,France,Grenada
Za'abeel Stadium,2020-12-08,07:28:19,Libya,San Marino
Za'abeel Stadium,2021-02-05,08:47:14,Nigeria,El Salvador
Za'abeel Stadium,2020-12-07,19:32:49,Taiwan,New Zealand
Za'abeel Stadium,2021-05-07,02:15:11,Portugal,Italy
Za'abeel Stadium,2021-05-05,03:14:40,Bangladesh,Tajikistan
Za'abeel Stadium,2020-12-30,17:37:08,Montenegro,Mauritius
Za'abeel Stadium,2021-02-12,04:26:48,Singapore,Grenada
Za'abeel Stadium,2021-01-07,10:26:41,Canada,Spain
Maktoum Bin Rashid Al Maktoum Stadium,2021-03-08,15:45:54,New Zealand,Laos
Maktoum Bin Rashid Al Maktoum Stadium,2021-04-16,01:17:33,State of Palestine,Peru
Maktoum Bin Rashid Al Maktoum Stadium,2021-01-15,18:47:30,Honduras,Latvia
Maktoum Bin Rashid Al Maktoum Stadium,2020-12-30,18:49:33,Ecuador,Algeria
Maktoum Bin Rashid Al Maktoum Stadium,2021-05-05,21:20:19,Dominican Republic,North Korea
Maktoum Bin Rashid Al Maktoum Stadium,2021-04-01,02:15:34,Myanmar,South Sudan
Maktoum Bin Rashid Al Maktoum Stadium,2021-03-28,18:41:00,Poland,Ghana
Maktoum Bin Rashid Al Maktoum Stadium,2021-03-09,02:27:33,Kosovo,Tanzania
Changlimithang Stadium,2021-01-11,07:46:22,Estonia,Belgium
Changlimithang Stadium,2020-12-24,11:48:59,Cambodia,Malawi
Changlimithang Stadium,2020-12-12,04:09:17,Cambodia,Belgium
Camp d'Esports,2021-04-19,18:14:48,Bhutan,Tajikistan
Camp d'Esports,2021-03-03,11:17:26,State of Palestine,Lithuania
Camp d'Esports,2021-05-05,20:29:26,South Africa,Belgium
Camp d'Esports,2020-12-24,06:38:34,New Zealand,United States of America
Białystok City Stadium,2021-04-16,23:33:12,Morocco,Grenada
Białystok City Stadium,2020-11-28,01:36:51,United Kingdom,Singapore
Białystok City Stadium,2021-05-16,05:49:28,Luxembourg,Papua New Guinea
Białystok City Stadium,2021-03-31,06:17:11,Australia,Guatemala
Białystok City Stadium,2021-03-06,05:16:48,Iran,Syria
Białystok City Stadium,2020-12-11,02:18:33,Angola,Malaysia
Białystok City Stadium,2021-05-10,19:06:10,Zambia,Kazakhstan
Białystok City Stadium,2021-04-06,11:22:32,Croatia,Bosnia and Herzegovina
Cebeci İnönü Stadium,2021-01-29,18:42:47,South Korea,Democratic Republic of the Congo
Cebeci İnönü Stadium,2021-01-23,21:28:15,Suriname,Slovenia
Cebeci İnönü Stadium,2021-01-23,09:26:55,Mali,Democratic Republic of the Congo
Cebeci İnönü Stadium,2021-04-20,02:48:37,Nigeria,Sudan
Cebeci İnönü Stadium,2021-03-28,16:19:54,Panama,Nepal
Cebeci İnönü Stadium,2021-01-01,00:43:24,Greece,South Korea
Erve Asito,2021-01-05,04:06:05,Morocco,Vietnam
Erve Asito,2021-04-15,09:34:59,Canada,India
Erve Asito,2021-01-24,05:45:46,Paraguay,Laos
Erve Asito,2021-04-02,07:14:23,Montenegro,Kuwait
Erve Asito,2021-03-22,02:14:35,Panama,Iceland
Erve Asito,2021-02-24,01:24:01,Venezuela,Honduras
MCS Rukh,2021-04-25,00:20:04,The Gambia,Chile
MCS Rukh,2020-12-28,18:21:03,Italy,Zambia
MCS Rukh,2020-12-07,08:14:45,Solomon Islands,Chile
MCS Rukh,2021-05-12,16:47:01,Bolivia,Mali
MCS Rukh,2021-04-24,04:22:22,Israel,Saint Lucia
Beroe Stadium,2021-01-13,04:37:21,El Salvador,Slovakia
Beroe Stadium,2021-03-14,18:38:44,Grenada,New Zealand
Beroe Stadium,2021-03-08,12:12:08,Iran,Belarus
Beroe Stadium,2021-03-18,07:34:12,Iran,North Macedonia
Beroe Stadium,2021-04-26,21:07:04,Kyrgyzstan,Germany
Beroe Stadium,2021-04-16,06:43:12,Morocco,Tunisia
Beroe Stadium,2021-05-01,04:40:05,Hungary,Iran
Beroe Stadium,2020-12-12,20:30:10,North Korea,Georgia
Beroe Stadium,2021-02-14,21:52:40,Albania,State of Palestine
Gradski stadion Tetovo,2021-03-30,20:22:47,Uzbekistan,Costa Rica
Gradski stadion Tetovo,2020-12-15,19:19:29,Ireland,Antigua and Barbuda
Gradski stadion Tetovo,2021-02-10,06:49:03,Ethiopia,United Kingdom
Gradski stadion Tetovo,2020-12-11,12:21:32,Somalia,Guernsey
Gradski stadion Tetovo,2021-02-06,20:16:07,Gabon,Luxembourg
Tušanj City Stadium,2021-03-29,07:51:00,Albania,South Africa
Tušanj City Stadium,2021-02-21,00:37:23,Kenya,Antigua and Barbuda
Tušanj City Stadium,2021-03-28,23:54:21,Turkmenistan,Rwanda
Erosi Manjgaladze Stadium,2020-11-22,21:37:52,Afghanistan,Turkmenistan
Erosi Manjgaladze Stadium,2021-02-16,09:15:55,Switzerland,Faroe Islands
Erosi Manjgaladze Stadium,2020-12-13,09:17:08,Nepal,Kuwait
Erosi Manjgaladze Stadium,2021-03-06,07:53:11,São Tomé and Príncipe,Turkmenistan
Erosi Manjgaladze Stadium,2021-03-20,16:57:34,Netherlands,Saudi Arabia
Erosi Manjgaladze Stadium,2021-05-18,09:23:01,Kyrgyzstan,Faroe Islands
Erosi Manjgaladze Stadium,2021-02-17,23:36:50,Croatia,Iraq
Erosi Manjgaladze Stadium,2021-03-21,20:23:19,Canada,Greenland
Erosi Manjgaladze Stadium,2021-01-15,04:05:06,Mongolia,Bahrain
Erosi Manjgaladze Stadium,2021-03-05,23:03:40,Uzbekistan,Liberia
Užice City Stadium,2021-04-21,05:45:03,Sweden,Uzbekistan
Užice City Stadium,2021-05-11,16:05:30,Luxembourg,New Zealand
Užice City Stadium,2021-01-12,04:45:02,Ethiopia,Uganda
Užice City Stadium,2021-03-02,01:05:55,Kazakhstan,Australia
Užice City Stadium,2021-01-06,09:27:21,Cuba,Guyana
Užice City Stadium,2021-04-12,08:34:04,Armenia,Djibouti
Užice City Stadium,2021-03-16,11:46:21,Burkina Faso,Mauritania
Užice City Stadium,2021-02-23,06:08:31,Spain,Mali
Užice City Stadium,2020-12-26,20:12:16,Honduras,Denmark
Užice City Stadium,2021-02-13,19:13:39,Iraq,Slovakia
Novi Pazar City Stadium,2020-12-20,17:35:32,Hungary,Saint Kitts and Nevis
Novi Pazar City Stadium,2021-03-13,23:35:40,India,Myanmar
Novi Pazar City Stadium,2021-03-19,21:52:30,The Gambia,Cyprus
Novi Pazar City Stadium,2021-04-06,22:40:53,Eritrea,United States of America
Novi Pazar City Stadium,2021-05-13,23:31:50,Israel,Mauritius
Novi Pazar City Stadium,2021-01-03,14:30:46,Kazakhstan,Egypt
Novi Pazar City Stadium,2020-12-29,22:50:06,Saint Kitts and Nevis,Hungary
Novi Pazar City Stadium,2021-03-08,19:37:02,Saudi Arabia,Pakistan
Ratu Cakobau Park,2021-03-17,19:08:43,Saudi Arabia,Ecuador
Ratu Cakobau Park,2021-03-11,23:29:53,Sweden,Mexico
Ratu Cakobau Park,2021-05-05,13:07:33,Cambodia,Dominica
Ratu Cakobau Park,2021-02-11,21:26:37,North Korea,Greenland
Ratu Cakobau Park,2021-01-08,00:04:12,Rwanda,British Virgin Islands
Ratu Cakobau Park,2021-01-19,01:29:41,Turkmenistan,Nepal
Ratu Cakobau Park,2021-03-22,16:29:19,Estonia,Kyrgyzstan
Ratu Cakobau Park,2021-03-09,10:26:09,Bahrain,El Salvador
Estadio Óscar Alberto Quiteño,2020-11-30,02:19:58,Portugal,Botswana
Estadio Óscar Alberto Quiteño,2021-04-24,18:36:23,Botswana,Germany
Estadio Óscar Alberto Quiteño,2021-02-26,17:36:23,South Africa,Burkina Faso
Estadio Óscar Alberto Quiteño,2021-02-28,10:27:54,Uzbekistan,Cyprus
Estadio Óscar Alberto Quiteño,2021-02-11,05:50:16,Saudi Arabia,Dominican Republic
Juba Stadium,2021-02-25,22:40:11,Cyprus,Curaçao
Juba Stadium,2021-01-15,11:07:52,Suriname,Cambodia
Juba Stadium,2021-03-04,20:23:35,Benin,Norway
Stade Germain Comarmond,2020-12-06,17:09:10,Qatar,Fiji
Stade Germain Comarmond,2021-03-12,17:16:38,Costa Rica,Trinidad and Tobago
Stade Germain Comarmond,2020-12-15,14:07:25,Djibouti,Thailand
Stade Germain Comarmond,2021-05-12,02:09:54,Guernsey,Philippines
Canutillo Stadium,2021-04-07,03:06:29,Qatar,Mali
Canutillo Stadium,2021-03-24,04:29:15,Costa Rica,Kyrgyzstan
Canutillo Stadium,2021-02-27,06:17:05,Rwanda,Paraguay
Canutillo Stadium,2021-02-03,09:37:57,Tanzania,Russia
Canutillo Stadium,2021-01-22,00:15:56,Australia,Venezuela
Valby Idrætspark,2020-12-21,07:08:16,Latvia,Liberia
Valby Idrætspark,2021-05-19,13:10:42,India,Jordan
Valby Idrætspark,2021-02-04,21:38:07,Angola,Dominican Republic
Valby Idrætspark,2021-01-15,11:13:37,Democratic Republic of the Congo,Germany
Valby Idrætspark,2021-02-18,07:08:22,Zambia,France
Valby Idrætspark,2021-03-26,13:43:33,Liberia,Burundi
Valby Idrætspark,2021-03-12,03:25:44,Croatia,Iceland
Stadio Alberto Pinto,2021-04-02,17:53:22,Armenia,Malaysia
Stadio Alberto Pinto,2021-05-01,12:51:51,Bosnia and Herzegovina,Tanzania
Stadio Alberto Pinto,2021-04-11,06:48:07,Canada,Uruguay
Stadio Alberto Pinto,2020-12-11,02:03:09,Croatia,Mauritania
Stadio Alberto Pinto,2021-03-06,08:49:07,Turkey,Greece
Stadio Alberto Pinto,2020-12-27,18:04:41,Mongolia,Ivory Coast
Georgios Kamaras Stadium,2021-03-17,19:49:41,Indonesia,Uruguay
Georgios Kamaras Stadium,2021-03-05,01:26:55,Ireland,Gabon
Georgios Kamaras Stadium,2021-03-02,23:22:00,Portugal,Cameroon
Georgios Kamaras Stadium,2020-11-25,08:09:24,Estonia,Rwanda
Georgios Kamaras Stadium,2021-03-02,19:06:54,Saint Kitts and Nevis,British Virgin Islands
Georgios Kamaras Stadium,2021-01-02,08:19:38,Sri Lanka,Grenada
Georgios Kamaras Stadium,2020-12-26,10:23:15,Kyrgyzstan,Switzerland
Georgios Kamaras Stadium,2021-02-22,19:05:51,Portugal,Canada
Georgios Kamaras Stadium,2021-04-15,05:30:46,San Marino,Colombia
Georgios Kamaras Stadium,2021-04-15,15:23:53,Uzbekistan,Austria
Campo Manuel Marques,2021-01-14,06:57:30,Costa Rica,The Gambia
Campo Manuel Marques,2021-02-12,11:07:17,Ethiopia,Sudan
Campo Manuel Marques,2021-01-05,16:40:34,Thailand,Trinidad and Tobago
Campo Manuel Marques,2021-04-05,14:32:27,Suriname,Paraguay
Campo Manuel Marques,2020-12-03,07:57:40,Greece,Ecuador
Campo Manuel Marques,2021-04-13,00:26:27,Faroe Islands,Nepal
El Gouna Stadium,2021-01-13,23:20:44,Rwanda,Pakistan
El Gouna Stadium,2021-04-22,06:46:20,Antigua and Barbuda,Somalia
El Gouna Stadium,2021-03-28,19:33:47,Dominica,Norway
El Gouna Stadium,2021-01-15,15:10:37,Sweden,France
El Gouna Stadium,2020-12-16,05:19:26,Bolivia,Democratic Republic of the Congo
El Gouna Stadium,2021-01-26,09:38:44,Serbia,Saint Kitts and Nevis
El Gouna Stadium,2021-03-17,00:30:36,Cameroon,Kazakhstan
Stade Victor Boucquey,2020-11-29,03:18:22,The Gambia,Jordan
Stade Victor Boucquey,2021-01-08,17:54:57,Norway,Laos
Stade Victor Boucquey,2020-12-07,13:31:13,Vietnam,Curaçao
Stade de Sauclières,2020-12-22,15:33:01,Cuba,Germany
Stade de Sauclières,2021-01-29,14:13:12,Sri Lanka,Mauritania
Stade de Sauclières,2021-04-30,10:33:07,United Kingdom,Faroe Islands
Stade de Sauclières,2021-03-28,08:59:16,Mauritania,Uzbekistan
Stade de Sauclières,2021-03-05,22:49:32,Ethiopia,São Tomé and Príncipe
Stade de Sauclières,2021-03-03,03:47:59,Guatemala,Somalia
Stade de Sauclières,2021-01-28,07:26:55,South Africa,Brazil
Stade de Sauclières,2021-01-06,09:26:18,The Gambia,United Arab Emirates
Stade de Sauclières,2021-03-20,14:48:03,India,United States of America
Stade de Sauclières,2021-04-24,00:46:49,Gabon,Belgium
Springfield Park,2021-02-08,19:51:29,Costa Rica,Belgium
Springfield Park,2021-04-14,19:25:52,Bosnia and Herzegovina,Angola
Springfield Park,2021-03-08,13:56:53,Uganda,Nigeria
Springfield Park,2020-12-20,03:11:16,Gabon,São Tomé and Príncipe
Springfield Park,2021-01-17,18:05:32,United Arab Emirates,Saint Kitts and Nevis
Springfield Park,2021-02-02,13:03:15,Liechtenstein,Germany
